3333	Kind; Knabe	child; boy	niño
3334	junger Mann; Jüngling	young man; adolescent; young (male)	joven; hombre joven; adolescente; niño
3335	Cholo; hispanisierter Indianer	cholo; indigenous who has adopted European habits	cholo
3336	still; schweigsam; ruhig; leise; geräuschlos	quiet; calm; silent	quieto; silencioso
3337	still; schweigsam; ruhig; leise; geräuschlos	quietly; silently	en silencio; silenciosamente
3338	schweigen; still sein; leise sein	to be silent	estar silencioso
3339	aufpicken; picken	to peck; to pick up (bird)	comer a picotazos
3340	Kettenpaar zum Weben eines Salbandes (Webekante)	warp pair (one in each lease) used to make a list stripe in warp-faced cloth	par de urdimbres para tejer un ribete
3341	Kaulquappe	tadpole	renacuajo
3342	zart; kränklich; schwächlich; schwach; kraftlos	delicate; sickly; weak; weak; vulnerable; susceptible to illness	enfermizo; delicado; débil; achacoso; descaecido; decaído; sin fuerzas
3343	Schwäche; Kraftlosigkeit; Anfälligkeit gegen Krankheiten	weakness; the state of being vulnerable to illness, caused by experiencing hunger, cold, or negative emotions, or by being in a dangerous location or out at night	debilidad
3344	Kraft verlieren	to lose strength	perder las fuerzas
3345	tropfen; schwitzen	to drip; to sweat	gotear; sudar
3346	kraftlos sein	to be without strength	estar sin fuerza
3347	Scherflein; Obulus	obulus	óbolo
3348	Dung	manure	abono; estiércol
3349	Mumie; alte Begräbnisstätte	mummy; ancient artifact; round tomb; stone house-like prehispanic graves, still visible in the Lake Titicaca region	momia; sarcófago; tumba
3350	Ort bei Malka (Bolivien)	place near Malka (Bolivien)	lugar cerca de Malka (Bolivia)
3351	kopulieren	to copulate	copular
3352	waschen; wässern; sein Gesicht benetzen	to wash; to water; to wet one's face	lavar; enjuagar; mojarse la cara
3353	runzelig; faltig	wrinkled; skinny; arranged; creased; wrinkled	fruncido; arrugado
3354	Schwiele	callus; welt; weal; wale	callo
3355	Sorte Mais	sort of maize; a variety of maize	variedad de maíz
3356	Maissorte	sort of corn	variedad de maíz; chulpi
3357	welk	faded; withered	marchito
3358	welken; welk werden	to fade; to wither	marchitarse; secar (marchitarse)
3359	sich mit gestreckten Beinen setzen	to sit down with stretched legs	sentarse con las piernas estiradas
3360	gekochter Ulluku	cooked olluco	olluco cocido
3361	Eis	ice	hielo
3362	verdünnt	diluted	diluido
3363	wässern lassen; jemanden etwas einweichen lassen	to water; to make someone water something; to wet	remojar; hacer remojar; disolver; hacer derretir; derretir
3364	sich ausdehnen (Wunden)	to extend (wounds)	extenderse (heridas)
3365	Wasser von verschiedenen Orten hervorsprudeln lassen	to make spout water from various places	hacer brotar agua en varios lugares
3366	Eis	ice; ice (on body of water)	hielo
3367	gefroren; eingefroren	frozen	congelado
3368	gewässert; geschmolzen	watered; melted	remojado; derretido
3369	Harpygie	harpy eagle	chullu hualli; águila arpía; águila arpia; arpía (águila)
3370	Lösung (in Flüssigkeit)	solution (in a liquid)	disolución; solución (en un líquido)
3371	im Schlamm spielen	to play in the mud	jugar en el fango
3372	schmelzen; sich auflösen	to melt; to be dissolved	licuarse; disolverse; remojarse; derretirse; derretir
3373	gefrieren	to freeze	congelarse
3374	wässern; einweichen; schmelzen	to water; to soak; to melt	remojar; derretir; disolver; diluir
3375	fade; geschmacklos	insipid; tasteless	insípido; sin gusto; soso
3376	Dorf im Norden von La Paz	village north of La Paz	pueblo del norte de la paz
3377	Hund hetzen	to set a dog	azuzar al perro
3378	Biene (Art)	kind of bee	una variedad de abeja
3379	besoffen; betrunken	drunk	borracho; chumado
3380	sich betrinken; sich besaufen	to get drunk	emborracharse; chumarse
3381	entwässern; filtern; filtrieren; sieben	to drain; to filter	desaguar; drenar; filtrar; escurrir
3382	sich den Mund ausspülen	to rinse one's mouth	enjuagarse la boca
3383	Strauch	bush; shrub	arbusto
3384	kneten; plattdrücken	to knead; to knead dough; to crush	aplastar
3385	Tongefäß	earthenware vessel	vasija de arcilla
3386	Pullover	pullover; jumper; jacket; sweater	pulóver; chaqueta, chamarra, chompa
3387	Hummel	bumble bee	abejón
3388	Gürtel; gewebtes Band; Gurt; Gürtelband; in andiner Mystik den menschlichen Leib umgebender Gürtel lebender Energie	belt; girdle; woven belt; handwoven women's belt; in andean mysticism this term also refers to the belts of living energy that surround the human body and make up the human 'bubble' or energy field	faja; cinturón; correa; faja para ceñir la cintura; cinto
3389	Zeremonie des Öffnens der Energiegürtel	ceremony of opening the energy belts	ceremonia de apertura de los cinturones de energía
3390	Gürtel weben; Energiegürtel erzeugen	to weave belts; to make energy belts	tejer fajas; tejer las fajas energéticas
3391	Band	band; ribbon; tape	cinta
3392	sich einen Gürtel umbinden	to belt up; to put on a belt; to put on woven belt	fajarse
3393	jemanden gürten; jemandem den Gürtel umschnallen	to belt someone; to girdle someone; to swaddle someone	fajar a otro; ceñir a otro; hacer fajar; permitirse fajar; hacer ceñir
3394	gürten; Gürtel umschnallen	to belt; to girdle; to swaddle	hacer ceñir
3395	Gurt; Windel	girdle; belt; swaddling for an infant	cingula
3396	sich einen Gürtel umbinden	to belt up; to put on a belt; to put on woven belt	fajarse; ceñirse la yacolla para caminar; fajarse la faja; ponerse el cingulo; ponerse el hombre su yacolla; ceñirse la faja; ponerse la faja
3397	Taille	waist; size	cintura
3398	sich einen Gürtel umbinden	to belt up; to put on a belt; to put on woven belt	fajarse; poner(se) una correa, cinturón, faja, chumbi
3399	bezieht sich in der andinen Mystik auf eine spezielle Bezeichnung eines mystischen Priesters, der in die Kunst der Eröffnung der Energiegürtel (chumpi) eingeführt wurde	in andean mysticism this refers to a special designation of mystical priest initiated in the art of the chumpi's or opening the energy belts	en mística andina refiere a una designación especial de sacerdote mistico iniciado en el arte de abrir los cinturones de energía (chumpis)
3400	Holzbecher, in Streifen bemalt	wooden cup painted in stripes	vaso de madera pintado a cintas o a vetas travesadas 
3401	sich im Wind bewegen	to whip about in the wind	moverse en el viento
3402	einen Gürtel umbinden	to belt up someone	fajar
3403	Wasservogel (Art)	kind of water bird	ave acuática
3404	zehn	ten	diez; el número 10; decena
3405	dezimal	decimal	decimal
3406	Dezimeter	decimetre; decimeter	decímetro
3407	den Zehnten zahlen	to tithe	pagar el décimo
3408	Gruppieren von zehn in zehn	grouping of ten in ten	agrupamiento de diez en diez
3409	Zehneck	decagon	decágono
3410	Zehner	ten (digit)	decena
3411	polynomische Darstellung	polynomial representation	representación polinómica
3412	Zehntel	tenth	décima
3413	Dezigramm	decigram	decigramo
3414	Dezimeter	decimetre	decímetro
3415	dezimal	decimal	decimal
3416	Deziliter	decilitre	decilitro
3417	elf	eleven	once
3418	Hendekagon	hendecagone	endecagono
3419	Zehnmillionstel	ten millionth	diezmillonésimo
3420	Zehner	ten (digit)	decena
3421	Dutzend	dozen	docena
3422	Dutzend	dozen	docena
3423	zwölf	twelve	doce
3424	zwölfter; zwölfte; zwölftes	twelth	duodécimo,a; duodecimal
3425	zwölf Uhr	twelve o'clock	las doce
3426	Dodekaeder	dodecaeder	dodecaedro
3427	Neunzehntel	nineteenth	diecinueveavo
3428	neunzehn	nineteen	diecinueve
3429	Deka...	deca...	deca...
3430	die zehn Gebote	the ten commandments	los diez mandamientos
3431	Dekameter	decametre	decámetro
3432	zehnte; zehnter; zehntes	tenth	décimo
3433	dreizehn	thirteen	trece
3434	Zehner	tens	decenas
3435	zehn mal zehn (hundert)	ten times ten (one hundred)	diez veces diez (ciento)
3436	zehn mal fünf (fünfzig)	ten times five (fifty)	diez veces cinco (cincuenta)
3437	Dezimalzahl	decimal number	decimal
3438	Dezimalsystem	decimal system	sistema decimal
3439	Glücksspiel	game of chance	juego de azar; dado
3440	zehn von hundert; zehn Prozent	ten per cent; ten percent	diez por ciento
3441	zehnte; zehnter; zehntes	tenth	décimo; décimo,a
3442	Zehnte Lektion	Lesson Ten	Lección Diez
3443	Deziliter	decilitre	decilitro
3444	zwei Wochen; fünfzehn Tage	fortnight; two weeks; fifteen days	quincena
3445	fünfzehn	fifteen	quince
3446	zwei Wochen; fünfzehn Tage	fortnight; two weeks; fifteen days	quincena
3447	Achtzehntel	eighteenth	dieciochoavo
3448	achtzehn	eighteen	dieciocho
3449	zehnte; zehnter; zehntes	tenth	décimo
3450	Dekaliter	decalitre	decalitro
3451	Siebzehntel	seventeenth	dicisieteavo
3452	siebzehn	seventeen	diecisiete
3453	Zehntel	tenth	décimo
3454	Sechzehntel	sixteenth	dieciseisavo
3455	sechzehn	sixteen	dieciséis; dieciseis
3456	vierzehn	fourteen	catorce
3457	Dekameter	decametre; decameter	decámetro
3458	Dekaeder	decaeder	decaedro
3459	zehntausend	ten thousand	diez mil
3460	Zehntausendstel	ten thousandth	diezmilésimo
3461	Zehntausendmillionstel	ten thousand millionth	diezmilmillonésimo
3462	Jahrzehnt	decade	década
3463	zehnjährig	decennial	decenal
3464	Jahrzehnt	decennium; decenniad	decenio
3465	spielen; Ball spielen	to play; to blay with a ball	jugar; jugar con pelotas, bolas, tortas y maíz; tincar
3466	Dezimalsystem	decimal system	sistema decimal
3467	geliebt	beloved; affectionate nickname	querido
3468	Zärtlichkeit	tenderness; crowd; mob; multitude	cariño; ternura
3469	leer	empty	vacío
3470	nichts	nothing	nada
3471	unfruchtbar	infertile	yermo
3472	einsam; öde; menschenleer	lone; lonely; lonesome; isolated; solitary; bleak; deserted	solitario; desierto
3473	einsam	lonesome	solitario
3474	summen; sausen (in den Ohren)	to buzz	zumbar
3475	ein dunkles und sehr hartes Holz aus dem Regenwald; harter Stock	a dark and extremely hard wood from the jungle; hard stick	madera muy oscura y dura de la selva; palo duro
3476	Pfirsichpalme; Palme; Palme des Regenwalds (Art, Hauptnutzung: Nahrung, Bau); Baum (Art) des Regenwalds mit sehr hartem Holz	peach palm; palm tree; kind of palm tree of the jungle (main use: food, construction); a hardwood jungle tree; the wood of this tree	chonta; chunda; pejibaye; palmera; especie de palma de la selva (uso principal: alimento, construcción); especie de árbol de la selva, de madera muy dura; palma
3477	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	chontacuru paju; especie de planta medicinal de la selva ecuatoriana
3478	Heilpflanze (Art) des ecuadorianischen Regenwaldes	kind of medicinal plant of the Ecuadorian jungle	chonta caspi; especie de planta medicinal de la selva ecuatoriana
3479	Stadt im Departement Pasco (Peru); (span.) Chontabamba (<Ebene der harten Stöcke)	town in the Department of Pasco (Peru); (Span.) Chontabamba (plain of hard sticks)	ciudad en el departamento de Pasco (Perú); (esp.) Chontabamba (<llanura de palos duros)
3480	agavenähnliche Pflanze (Art), zur Fasergewinnung verwendet	kind of plant similar to the agave used to gain ropes	cabuya blanca
3481	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	chonta quiro; especie de planta medicinal de la selva; chontaquiro
3482	Baum des Regenwalds (Art, Hauptnutzung: Stricke)	kind of tree of the jungle (main use: ropes)	chunda tauna; especie de árbol de la selva (uso principal: cuerda de amarrar)
3483	Gemeinde am Fluss Lurín (Pachakamaq Mayu), in der Provinz Huarochiri (Departement Lima, Peru); (span.) Chontay	community on the Lurín river (Pachakamaq Mayu), in the province of Huarochiri (Department of Lima, Peru); (Span.) Chontay	comunidad a orillas del río Lurín (Pachakamaq Mayu), en la provincia de Huarochirí (departamento de Lima, Perú); (esp.) Chontay
3484	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	chontay caspi; especie de planta medicinal de la selva
3485	Pyramide	pyramid	pirámide
3486	ohne Ohrmuschel	without external ear	sin pabellón de la oreja; desorejado
3487	gebackene Kartoffeln	baked potato	papa cocida
3488	still; leise; unbewohnt; einsam; allein	silent; uninhabited; solitary; lonely; empty	desocupado (una casa); silencioso; solitario
3489	Stille; Einsamkeit	silence; loneliness	silencio; soledad; sitio silencioso
3490	summen; schwirren; brummen	to buzz; to hum	zumbar
3491	mit dem Kranich verwandter Stelzvogel	kind of stalking bird related to the crane	variedad de ave zancuda del mismo orden que las grullas
3492	Erbrochenes; Kotze	vomit	vómito
3493	erbrechen; kotzen	to vomit; to puke	vomitar
3494	runzelig; faltig	wrinkled	arrugado
3495	Wurzel	root	raíz
3496	Schwanz	tail	cola; rabo; extremidad de algún objeto; cola; rabo; rabadilla; coxis; salamero; rabo; mango
3497	Franse	fringe	fleco
3498	Skorpion	scorpion	escorpión; alacrán
3499	anhängen; ans Ende anfügen	to append; to add (at the end of something)	añadir (al final de algo)
3500	Schwanzknochen	tail bone	hueso del rabo; coxis
3501	saugen	to suck	chupar, mamar
3502	hinter den anderen bleiben	to stay behind the other	quedar una persona tras las otras
3503	Kartoffelsuppe	potato soup	sopa de papas; sopa; sopa de fideos; almuerzo que se toma al mediodía o a primeras horas de la tarde; sopa de patata, carne, verduras y otros condimentos
3504	Scheide; Vagina; Vulva; weibliche Geschlechtsorgane	vagina; vulva; female genitals	vagina; vulva; genitales femeninos; organo genital de la mujer
3505	rot	red	rojo; colorado; colorado; rojo
3506	Wildpflanze (Art), deren zunehmendes Vorkommen auf einem Feld die Notwendigkeit einer Brache anzeigt	kind of wild plant whose increasing presence on the filed shows the necessity of fallow	una planta silvestre, quando en una chacra aumenta su presencia, es el momento en que el suelo demanda descanso (comunidad de Chetilla / Cajamarca)
3507	Klitoris; Kitzler	clitoris	clitoris; organo genital de la mujer; vagina
3508	mit einem langen Schwanz	long-tailed	de cola larga muy larga
3509	weibliche Geschlechtsorgane	female genitals	genitales femeninos
3510	sich etwas umbinden	to tie something round oneself	fajarse
3511	großer, dicht belaubter Baum mit vorzüglichen Früchten, bei Affen wie Menschen begehrt	big tree thick with leaves bearing exquisite fruits very desired by monkeys as well as people	chopé; árbol grande y frondoso, de fruta exquisita, muy buscada por los monos y el hombre
3512	anordnen; ordnen	to arrange	disponer
3513	Abstammung	lineage	ascendencia; origen
3514	Urenkel	grand-grandchild	taranieto; tataranieto; nieta; biznieto; descendencia
3515	kratzen	to scratch	arañar
3516	Binse (Art)	kind of rush; reed; reed plant that grows near shore of lakes; reeds	junco; bejuco; totora
3517	etwas zum Werfen	something to throw	arrojadizo
3518	Werfer	thrower	arrojador; lanzador
3519	in alle Richtungen werfen	to throw into all directions	echar en todas las direcciones
3520	geworfen	thrown	arrojado; botado
3521	werfen; schleudern	to throw; to hurl; to fling	tirar; arrojar; lanzar; arrojar; tirar; botar
3522	erdrosseln; ersticken	to choke; to suffocate	ahogar
3523	sehr mager	very skinny	flacucho; esquelético; escuálido; flaco; raquítico
3524	Webschwert; Gerät zum Zusammendrücken von Gewebe; Knochen, der beim Weben zum Zusammendrücken der Fäden verwendet wird	beater (for compacting weft); instrument for adjusting fabric; board used in weaving; batten (of a loom); weaving sword; bone beater; pick; bone picks	apretador (para tejer); instrumento para ajustar el tejido; hueso con que tupen; hueso con que aprietan los hilos; hueso que aprieta mas
3525	Metall; Erz; Mineral	metal; mineral; metal in its natural state	metal; mineral; oro puro; oro fino
3526	Unglücksvogel	bird of misfortune	ave mal agüero
