ID	Deutsch	English	Español	Italiano	Français
2364	Volk im heutigen Departement Ayakuchu und einem Teil von Apurimaq (Peru), Feinde der Inkas, von Pachakutiq erobert; in Ayakuchu gesprochenes Ketschua	ancient people in present Department of Ayakuchu and a part of Apurimaq (Peru), enemies of the Inkas, conquered by Pachakutiq; Quechua spoken in Ayakuchu	pueblo antiguo en el departamento actual de Ayacucho y una parte de Apurímac (Perú), enemigos de los Inkas, conquistados por Pachakutiq; quechua hablado en Ayacucho	Chanka; [antica popolazione nel dipartimento attuale di Ayacucho e parte di Apurimac (Peru), nemici degli Inca, conquistati da Pachakutiq; corrisponde anche al dialetto quechua parlato in Ayacucho]	
2365	Oberschenkel	thigh	muslo	coscia	
2366	Zwickel	gore; gusset	entre piernas	interno coscia	entre-jambes
2367	Melasse; Zuckergrundstoff	molasses; brown sugar	melaza; chancaca	melassa; zucchero di canna	
2368	Strumpf; Socke	sock	media	calza; calzino	
2369	durchqueren; etwas zwischen seine Beine tun	to cross; to put something between one's legs	atravesar; cruzar; ponerse algo entre los pies, tobillos, pantorrillas y muslos	incrociare; attraversare; [mettere qualcosa tra i piedi o le gambe]	
2370	Knie	knee	rodilla	ginocchio	genou
2371	überqueren (oberhalb)	to pass above	pasar por encima de; tambalear	passare sopra	
2372	Kniekehle	hams; back of the leg; leg butt	corva	polpaccio; [parte posteriore della gamba]	
2373	Vergewaltigungsopfer	raped	violada	violentata	
2374	Oberschenkelknochen	femur	fémur	femore	
2375	Leiste; Zwickel; Damm	crotch	ingle; entrepiernas; entre pierna	interno coscia; inguine	
2376	Vergewaltigung	rape	violación	violenza carnale	
2377	zwischen die Beine nehmen	to take between the legs	empiernar	prendere in mezzo alle gambe	
2378	vergewaltigen	to rape	violar	violare; violentare	
2379	schwanken; taumeln; stoplern; straucheln	to stagger; to stumble	caminar con paso vacilante haciendo zetas; vacilar; tropezar; bambolear; oscilar; balancearse	camminare instabilmente; vacillare; zigzagare; oscillare; [camminare con passo vacillante facendo zig zag]	
2380	zwischen die Beine nehmen; kopulieren; ficken; Geschlechtsverkehr treiben	to take between the legs; to copulate; to fuck	empiernar; copular; hacer acto sexual	prendere in mezzo alle gambe; copulare; fare sesso; fare l'amore	
2381	Vogel	bird	pájaro	passero; uccello; [tax. dom: Eukaryota; reg: Animalia; sre: Eumetazoa; ram: Bilateria; sph: Deuterostomia; phy: Chordata; uph: Vertebrata; Iph: Gnathostomata; scla: Tetrapoda; cla: Aves]	
2382	Beutelratte; Opossum	opossum	muca	opossum; [tax. reg: Animalia; phy: Chordata; sph: Vertebrata; cla: Mammalia; ucl: Theria; icl: Metatheria; sor: Ameridelphia; ord: Didelphimorphia; fam: Didelphidae]	
2383	Hände festbinden	to bind hands	enlazar las manos	incrociare le mani	
2384	Steinwüste	stone desert	pedregal	pietraia; [deserto di pietre]	
2385	freie Brust	free chest	pecho descubierto	petto scoperto; torso nudo	
2386	Schelle; Glöckchen	little bell; handbell	cascabel; sonaja; cencerro	crotalo; [strumento musicale]	
2387	Schelle; Glöckchen	little bell; handbell	cascabel; sonaja	crotalo; [strumento musicale]	
2388	scherzen	to joke	chancear	scherzare	
2389	dann	then	entonces; después	dopo; poi	ensuite; alors
2390	Gestalt; Form	form	forma	forma	
2391	Lama	llama	llama; llamingo	lama; [tax. bin: Lama glama]	
2392	Gestalt; Form; Muster	form; design	forma; diseño	forma	
2393	zeichnen; entwerfen	to design	diseñar	disegnare	
2394	jüngster Sohn	youngest son	el último hijo	ultimo figlio	
2395	Baum mit gelber Rinde und süßen, essbaren Früchten	tree whith yellow bark and sweet, eatable fruits	una variedad de árbol de corteza amarilla, de fruto dulce y comestible	chagnar; [varietà di albero dalla corteccia gialla e frutto dolce e commestibile]	
2396	Ecke; Rand; Ufer; Winkel	corner; edge; rim; shore; bank; angle; inside corner; angle	rincón	angolo	
2397	Aneignung; Bezauberung	appropriation; enchantment	apropiación; incautación; encantación	appropriazione; incanto	
2398	Spion	spy; police officer; cop; watcher	espía	spia	
2399	Wurzel	root	raíz	radice	
2400	Wache; Wächter; Wachmann; Späher	watchman; caretaker; guard; sentry; sentinel; lookout; scout	centinela; velador; guardia; espía pública	guardia; sentinella; guardiano; spia pubblica	
2401	Mensch aus Tarija (Bolivien)	person from Tarija	persona de Tarija (Bolivia)	Chapaku; [persona di Tarija (Bolivia)]	
2402	Ausguck; Plattform aus Rohr oder dünnen Zweigen, im Baum befestigt, dient als Beobachtungspunkt zum Jagen	look-out; platform of cane or twigs, attached in a tree, serving as look-out for hunting	mirador; tarima o barbacoa de cañas o ramas delgadas que los cazadores chapaneros nocturnos ubican en la rama de los árboles para cazar animales silvestres; soporte	osservatorio di caccia; [capanno di canne e rami utilizzato dai cacciatori notturni (chapaneros) per cacciare animali selvatici]	
2403	loben	to commend	alabar	elogiare	
2404	nass	wet	mojado	bagnato	
2405	Wächter; Polizist	guardian; watcher; policeman; cop; police officer	vigilante; guardián; policía; centinela	vigilante; guardiano; polizia; sentinella; guardia	
2406	Polizeiverwaltung	police administration	intendencia de policía	comando di polizia	
2407	Leitung der Polizei (in einer Provinz)	provincial police command	comando provincia de policía	comando provinciale di polizia	
2408	Polizeiwache	police station	puesto de policía	posto di polizia	
2409	bewachen	to guard	vigilar	vigilare	
2410	ergreifen; fangen; gefangen nehmen	to catch; to grab; to capture; to take prisoner; to seize	apresar; atrapar con la mano	prendere; catturare; imprigionare; [con la mano]	
2411	Aussichtspunkt; Wachturm	vantage point; sentry; watchtower	atalaya; espía; escucha; centinela; asechador; aguaytador	spia; torre di guardia; avamposto	
2412	Wache; Wachleute; Wachmannschaft	guard; men on guard; watchmen	guardia; soldados de centinela	guardie; uomini di guardia; soldati di sentinella; sentinelle	
2413	bewachen; überwachen	to watch; to observe	vigilar; vigilar (a alguien); espiar	vigilare	
2414	bewachen; überwachen; wachen; spähen; beobachten	to guard; to watch; to observe; to see; to spy; to watch over	espiar; mirar; observar; vigilar; cuidar; servir de vigía o centinela	vigilare; fare la sentinella; spiare; guardare; osservare; controllare	
2415	bedecken; abdecken (Graben)	to cover; to cover a canal	cubrir; tapar acequia	coprire; ostruire un fossato	
2416	Fluchtweg versperren (jemandem)	to block one's escape	atajar para que no escape	bloccare; [per non far scappare]	
2417	nationale Polizei	national police	policía nacional	polizia nazionale	
2418	stechen	to sting	picotear	pungere	
2419	ohne Manieren essen	to eat without manners	comer sin modales	ingozzarsi; mangiare smodatamente	
2420	tasten; betasten; befühlen	to feel; to palpate	palpar	palpare	
2421	rot gefärbt	dyed red	teñido rojo	rosso	
2422	Pflanze, die in Wankayu verwendet wird zum Rötlich-Gelb Färben	plant used in Huancayo to dye reddish yellow	chapi; planta usada in Huancayo para teñir de rojizo amarillo	chapi; [pianta utilizzata a Huancayo per tingere di giallo-rosso]	
2423	Zinn	tin	estaño	stagno	
2424	Pflanze, die verwendet wird zum Rot Färben	red dye source	chapichapi; planta usada para teñir de rojo	chapichapi; [pianta usata per tingere di rosso]	
2425	werfen; schleudern	to throw; to cast	lanzar; tirar (lanzar); tirar piedras	lanciare; tirare; lapidare	
2426	verbeulen; zerschlagen	to dent; to smash; to crash	abollar	rompere; schiacciare	
2427	löten; schweißen	to solder; to weld	soldar	saldare	
2428	zerdrückt	crushed	aplastado	schiacciato	
2429	Weizenbrot	wheat bread	pan de trigo	pane di grano	
2430	abschmecken; kosten; probieren; versuchen	to try; to sample; to taste	probar la comida	provare; assaggiare	
2431	fühlen; tasten	to feel	palpar	sentire; palpare; toccare	
2432	berühren; betasten; befühlen; anfassen	to touch; to feel (touch)	tocar; manosear	toccare; palpare	
2433	Zweig; Ast	branch	rama	ramo	
2434	Mischung; Gemisch; Gemenge	mixture	mezcla	mistura; miscela	
2435	Mischsprache sprechen	to speak a mixed language	hablar la chaupi lengua; utilizar un vocablo mixto	parlare chaupi; [parlare la lingua chaupi; utilizzare un vocabolario misto]	
2436	Schmetterling; Falter	butterfly	mariposa	farfalla; [insetto appartenente all'ordine dei lepidotteri]; [tax. reg: Animalia; phy: Arthropoda; cla: Insecta; ucl: Pterygota; sor: Endopterygota; ord: Lepidoptera]	
2437	Kauderwelsch	lingo; gibberish; cant; double Dutch	jerigonza	parlare in slang	
2438	verrückt; wahnsinnig	lunatic; moonstruck	lunático; maniático	lunatico	
2439	Zusammensetzung	composition	composición	composizione	
2440	Kombination	combination	combinación	combinazione	
2441	nass machen; mischen; vermischen; vermengen; untermengen	to wet; to mix; to submerge; to mix grain with water; to blend	mojar; sumergir; hacer masa; mezclar; sumergir alguna cosa en algún líquido; agregar; añadir; mezclar en agua; remojar; sopar en líquido	bagnare; sommergere; far massa; mischiare; aggiungere; mischiare in acqua; ammollare; inzuppare	mouiller
2442	mischbar	miscible	mezclable (para mezclar)	mischiabile	
2443	steinig; felsig	stony; rocky	pedregoso; rocoso	pietroso; roccioso	
2444	also; also ...; weil; denn; dann	well ...; then; because	pues; es que ...	beh...; perché...;	
2445	Dunkelheit; Finsternis; Nacht	dark; night	oscuridad; noche	oscurità; notte; tenebra	
2446	schon nachts	already at night	ya de noche	già durante la notte; durante la notte; di notte	
2447	sich verdunkeln	to darken	oscurecerse	oscurarsi	
2448	Hülsenfrucht; Hülsenfrüchtler	legume	legumbre	leguminosa	
2449	Hülsenfrüchtler	legume	legumbre; vaina vegetal que en la cual están encerradas algunas simientes como las habas	legume; [vagina vegetale nella quale sono racchiuse le sementi come le fave, i piselli, ecc.]	
2450	Erbse	pea	guisante; arveja	pisello; [tax. bin: Pisum sativum]	
2451	dunkel werden; dunkeln; Nacht werden	to get dark; to become night	anochecer; oscurecer; anochecer; empezar la noche	iniziare la notte; oscurirsi; farsi della notte	
2452	schöpfen	to ladle	sacar con cucharón	togliere con un mestolo	
2453	Schelle; Rassel; Tamburin	rattle; tambourine	sonajera	tamburo; sonagliera	
2454	Koka kauen	to chew coca	mascar coca	masticare la coca	
2455	Ort bei Betanzos (Bolivien) mit Thermalquellen	Town near Betanzos (Bolivia), site of thermal springs	pueblo cerca de Betanzos (Bolivia) donde hay baños termales	Chaqi; [città vicino a Betanzos (Bolivia), sede di sorgenti termali]	
2456	steinig	stony	pedregoso	pietroso	
2457	härten; abhärten; festigen; straffen	to harden; to tighten	endurecer	indurire; stringere	
2458	zusammengedrückt	pressed together	apretado	stretto	
2459	drücken; zusammendrücken	to press; to press together	apretar	stringere	
2460	Kiefer	jaw	quijada	fauci; mascella; mandibola	
2461	Kinn	chin	mentón	mento	
2462	als Pfahl für das Dach verwendeter Ast	branch used as pile for a roof	rama que se emplea como empalizada para el tejado; vara delgada del techo; empalizada	ramo; [ramo che si utilizza come impalcatura per le coperture]	
2463	Matte	mat; matting	estera	zerbino; stuoino	
2464	Parallelogramm	parallelogram	paralelogramo	parallelogrammo	
2465	Vogelkäfig	birdcage	jaula de pájaro	gabbia; [gabbia del passero]	
2466	chemisch	chemical	químico	chimico	
2467	Chemie	chemistry	química	chimica	
2468	Last; leichte, auf dem Rücken eines Tieres getragene Last	load; light freight carried on an animal's back	carga; carga liviana que va atravesada sobre el lomo del animal; soga o lazo para asegurar la carga en la acémila; maniota	carico; [carico leggero che viene posto sulle spalle dell'animale; si riferisce anche alla corda con la quale si assicurano i carichi]	
2469	Fessel	fetter; shackle; bond	cuerda o lazo para atrancar	corda per legare; laccio per legare	
2470	beladen lassen	to make load	hacer cargar	far caricare	
2471	von einem Maultier getragene Last	load carried by mules	carga para llevar en la mula; carga	carico portato dal mulo	
2472	Belader	person who loads	el que coloca la carga en el animal cargador	caricatore; [colui che carica il carico sul mulo]	
2473	entladen; abladen	to unload; to discharge	descargar	scaricare	décharger
2474	aufgeladene Last	charged load	carga puesta y asegurada en la acémila; carga colocada y atada en el animal de carga	carico [carico messo e assicurato sull'animale]	
2475	Handschellen	handcuff	esposas	manette	
2476	aufladen; beladen	to load; to charge (burden); to load an animal	cargar; colocar y asegurar la carga en la espalda del animal; amarrar; maniatar	caricare; caricare un animale; [caricare e assicurare un carico ad un animale]	charger (fardeau)
2477	binden; fesseln; an den Händen fesseln	to bind; to tie; to tie someone's hands	atar; maniatar; atar de pies y manos	legare; legare mani e piedi	
2478	fesseln; binden	to fetter; to shackle; to tie up; to bind	trabar; atar extremidades	legare; unire	
2479	erhitzen; erwärmen; zusammendrücken; festigen; straffen	to heat; to warm up; to press; to tighten	templar; apretar	scaldare; premere; stringere; assicurare; legare	
2480	plötzlich erschrecken	to startle; to frighten	sobresaltar	soprassalire; trasalire	
2481	unfruchtbares Land	infertile land	tierra infértil	terra non fertile; terra sterile	
2482	gemischt; kombiniert	mixed; combined	mixto; combinado; promiscuo	misto; combinato	
2483	Mischung; Gemisch; Gemenge	mixture; a mix	mezcla; mezcladura; mezcla; desorden	miscela	
2484	Bronze	bronze	bronce	bronzo	
2485	untermischen	to mix in	entremezclar	miscelare	
2486	Heilpflanze (Art) des Regenwaldes, verwendet in der Volksmedizin gegen Arthritis und Erkältung, es ist ein starkes Abortivum	kind of medicinal plant of the rainforest used in popular medicine against arthritis and cold, it is a powerful abortive	chirguayusa; chacruco; chiricsanango; especie de planta medicinal de la selva utilizada en la medicina popular contra la artritis y los enfriamientos, es abortivo poderoso	chirguayusa; chacruco; chiricsanango; [specie di pianta medicinale della selva utilizzata in medicina popolare contro artite e congelamenti; è un abortivo potente]; [tax. bin: Brunfelsia grandiflora]	
2487	Schaukel; Schaukelstuhl	swing; rocking chair	mecedor; mecedero	dondolo; sedia a dondolo	
2488	Heilpflanze (Art) des Regenwaldes, zusammen mit Ayawaska für einen halluzinogenen Trank verwendet; Chaqruna	kind of medicinal plant of the jungle, used together with ayawaska for a hallucinogenic beverage; chakruna	chacruna; samiruca; amiruca; batsicahua; pishicahua; especie de planta medicinal de la selva, usada con ayahuasca para una bebida alucinógena	chacruna; samiruca; amiruca; [specie di pianta medicinale della selva usata con ayahuasca per fare una bevanda allucinogena chiamata ayahuasca]; [tax. bin: Psychotria viridis]	
2489	sich mischen	to mix	entremezclarse; entreverarse	miscelare; mischiare	
2490	Heilpflanze (Art) des Regenwaldes	kind of medicinal plant of the jungle	chagropanga; especie de planta medicinal de la selva	chagropanga; [specie di pianta medicinale della selva]	
2491	zusammenstellen; kombinieren	to combine	combinar	combinare	
2492	gemischt	mixed	mezclado; desordenado	mischiato; disordinato	
2493	Zusammensetzung	composition	composición	composizione	
2494	mischen; vermischen; untermengen; schaukeln; schwenken	to mix; to mix in; to rock; to swing; to mix together two distinct things	mezclar; entreverar; entreverar; mezclar; confundir	mischiare; miscelare; scambiare	mélanger
2495	sich erfrischen (durch Nassmachen des Gesichts)	to refresh (wetting one's head)	refrescarse (mojándose la cabeza)	rinfrescarsi; [bagnandosi la testa]	
